ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-02T09:00:00.882501860Z,2025-01-02T09:00:00.882335884Z,10,2,16244,C,A,1,411.4,500,130,165976,290600,407.2,410.6,500,500,1,1,405.8,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,TSLA
2025-01-02T09:00:00.910452882Z,2025-01-02T09:00:00.910286260Z,10,2,16244,C,B,0,407.2,500,130,166622,290677,405.8,410.6,500,500,1,1,405.1,414.19,500,247,1,1,403.55,418.37,247,1,1,1,400.14,432.68,1,1,1,1,400,436.45,100,175,1,1,396.12,442.88,1,3,1,1,376.27,445,5,10,1,1,376.17,455.58,5,50,1,1,367.93,460,24,10,1,1,350,489.96,11,100,1,1,TSLA
2025-01-02T09:00:00.916342432Z,2025-01-02T09:00:00.916175869Z,10,2,16244,A,A,0,410.4,500,130,166563,290703,405.8,410.4,500,500,1,1,405.1,410.6,500,500,1,1,403.55,414.19,247,247,1,1,400.14,418.37,1,1,1,1,400,432.68,100,1,1,1,396.12,436.45,1,175,1,1,376.27,442.88,5,3,1,1,376.17,445,5,10,1,1,367.93,455.58,24,50,1,1,350,460,11,10,1,1,TSLA
2025-01-02T09:00:00.916502927Z,2025-01-02T09:00:00.916336721Z,10,2,16244,C,A,1,410.6,500,130,166206,290705,405.8,410.4,500,500,1,1,405.1,414.19,500,247,1,1,403.55,418.37,247,1,1,1,400.14,432.68,1,1,1,1,400,436.45,100,175,1,1,396.12,442.88,1,3,1,1,376.27,445,5,10,1,1,376.17,455.58,5,50,1,1,367.93,460,24,10,1,1,350,489.96,11,100,1,1,TSLA
2025-01-02T09:00:00.920236975Z,2025-01-02T09:00:00.920070585Z,10,2,16244,A,B,1,405.6,500,130,166390,290717,405.8,410.4,500,500,1,1,405.6,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,TSLA
2025-01-02T09:00:00.925099509Z,2025-01-02T09:00:00.924933203Z,10,2,16244,A,B,0,407,500,130,166306,290738,407,410.4,500,500,1,1,405.8,414.19,500,247,1,1,405.6,418.37,500,1,1,1,405.1,432.68,500,1,1,1,403.55,436.45,247,175,1,1,400.14,442.88,1,3,1,1,400,445,100,10,1,1,396.12,455.58,1,50,1,1,376.27,460,5,10,1,1,376.17,489.96,5,100,1,1,TSLA
2025-01-02T09:00:00.925874984Z,2025-01-02T09:00:00.925708209Z,10,2,16244,C,B,1,405.8,500,130,166775,290740,407,410.4,500,500,1,1,405.6,414.19,500,247,1,1,405.1,418.37,500,1,1,1,403.55,432.68,247,1,1,1,400.14,436.45,1,175,1,1,400,442.88,100,3,1,1,396.12,445,1,10,1,1,376.27,455.58,5,50,1,1,376.17,460,5,10,1,1,367.93,489.96,24,100,1,1,TSLA
2025-01-02T09:00:00.957074263Z,2025-01-02T09:00:00.956907261Z,10,2,38,A,B,2,200,5,130,167002,290855,248.18,254.7,399,399,1,1,236.33,271.27,40,4,1,1,200,296.36,5,3,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.957558854Z,2025-01-02T09:00:00.957392604Z,10,2,38,A,B,3,147.6,100,130,166250,290856,248.18,254.7,399,399,1,1,236.33,271.27,40,4,1,1,200,296.36,5,3,1,1,147.6,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2025-01-02T09:00:00.980037925Z,2025-01-02T09:00:00.979871673Z,10,2,16244,A,A,0,409.3,22,130,166252,290910,407,409.3,500,22,1,1,405.6,410.4,500,500,1,1,405.1,414.19,500,247,1,1,403.55,418.37,247,1,1,1,400.14,432.68,1,1,1,1,400,436.45,100,175,1,1,396.12,442.88,1,3,1,1,376.27,445,5,10,1,1,376.17,455.58,5,50,1,1,367.93,460,24,10,1,1,TSLA
